Time_in_ms;EmotiBit_timestamp;Round_number;Reliability;SCL_Raw;User_ID
63855710880551;626391;0;100;-19485,6;9010301179
63855710880551;626391;0;100;-19486,4;9010301179
63855710880656;626524;0;100;-19486,8;9010301179
63855710880656;626524;0;100;-19486,2;9010301179
63855710880756;626591;0;100;-19485,8;9010301179
63855710880858;626724;0;100;-19485,8;9010301179
63855710880858;626724;0;100;-19485;9010301179
63855710880953;626791;0;100;-19486;9010301179
63855710881090;626924;0;100;-19486;9010301179
63855710881090;626924;0;100;-19486;9010301179
63855710881156;626991;0;100;-19488,4;9010301179
63855710881322;627191;0;100;-19488,4;9010301179
63855710881322;627191;0;100;-19487,4;9010301179
63855710881322;627191;0;100;-19487,2;9010301179
63855710881423;627258;0;100;-19485,4;9010301179
63855710881556;627391;0;100;-19486,2;9010301179
63855710881556;627391;0;100;-19485,8;9010301179
63855710881653;627458;0;100;-19487;9010301179
63855710881756;627591;0;100;-19487,8;9010301179
63855710881756;627591;0;100;-19487,4;9010301179
63855710881854;627724;0;100;-19488,2;9010301179
63855710881854;627724;0;100;-19487,6;9010301179
63855710881954;627791;0;100;-19486,4;9010301179
63855710882057;627924;0;100;-19486,4;9010301179
63855710882057;627924;0;100;-19485,6;9010301179
63855710882156;627991;0;100;-19485,4;9010301179
63855710882256;628124;0;100;-19485,6;9010301179
63855710882256;628124;0;100;-19485;9010301179
63855710882353;628191;0;100;-19485,6;9010301179
63855710882456;628324;0;100;-19485,2;9010301179
63855710882456;628324;0;100;-19485,4;9010301179
63855710882589;628391;0;100;-19486;9010301179
63855710882673;628524;0;100;-19486,4;9010301179
63855710882673;628524;0;100;-19486;9010301179
63855710882790;628591;0;100;-19486;9010301179
63855710882875;628724;0;100;-19486;9010301179
63855710882875;628724;0;100;-19486;9010301179
63855710882989;628791;0;100;-19486;9010301179
63855710883086;628924;0;100;-19485,4;9010301179
63855710883086;628924;0;100;-19485,4;9010301179
63855710883188;628991;0;100;-19485,6;9010301179
63855710883289;629124;0;100;-19486,2;9010301179
63855710883289;629124;0;100;-19486;9010301179
63855710883380;629191;0;100;-19486,2;9010301179
63855710883490;629324;0;100;-19486,2;9010301179
63855710883490;629324;0;100;-19485,4;9010301179
63855710883756;629591;0;100;-19485,2;9010301179
